"","income","in_capital","married","employed","employed_pub_sec","employed_priv_sec","selfemp","retired","housewife","student","unemp","neighb_rich","neighb_poor","neighb_mixed","educ","male","age","orgmem","charity","petit","protest","campaign_attend","locvote","internet","internet_use_bin","socmed_use_bin","infs_face2face_tel","infs_newspaper","infs_radio","infs_television","infs_socmed","user_facebook","user_twitter","user_instagram","user_youtube","user_whatsapp","user_telegram","user_snapchat","y_dem_top_issue","y_dem_pref","y_2_dem_pref_not_in_dem","y_1_distrust_gov","y_distrust_army","y_distrust_pres_prime","y_trust_ikhwan"
"16",5000,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,50,FALSE,TRUE,0.5,0.5,TRUE,NA,FALSE,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"17",4000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.166666666666667,FALSE,39,FALSE,TRUE,0.5,0,FALSE,NA,TRUE,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,1,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18",5000,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.166666666666667,TRUE,41,TRUE,TRUE,1,0.5,TRUE,NA,TRUE,0.8,0.25,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,1,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"19",7000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.5,FALSE,49,FALSE,TRUE,0,0,FALSE,NA,TRUE,0.8,0.25,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"20",2500,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.5,TRUE,28,FALSE,TRUE,0.5,0,TRUE,NA,TRUE,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,1,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"21",2500,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.166666666666667,FALSE,32,FALSE,TRUE,0,0,FALSE,NA,TRUE,1,0.75,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"22",5000,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.166666666666667,TRUE,58,TRUE,TRUE,1,1,TRUE,NA,TRUE,1,0.5,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,1,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"23",4000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.5,FALSE,38,FALSE,TRUE,0,0,FALSE,NA,TRUE,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,0,1,1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"24",5000,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.5,TRUE,32,TRUE,TRUE,1,1,TRUE,NA,TRUE,1,0.75,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,1,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"25",2000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.5,FALSE,43,FALSE,TRUE,0,0,FALSE,NA,FALSE,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"26",5000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.166666666666667,FALSE,18,TRUE,TRUE,0.5,0.5,TRUE,NA,TRUE,0.8,0.25,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,1,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"27",4000,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,36,TRUE,TRUE,1,1,TRUE,NA,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"28",7000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,48,TRUE,TRUE,0.5,0.5,FALSE,NA,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"29",5000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.166666666666667,TRUE,23,TRUE,TRUE,1,1,TRUE,NA,TRUE,1,0.25,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"30",5000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.5,FALSE,27,TRUE,TRUE,0,0,TRUE,NA,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"31",4000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.5,TRUE,19,FALSE,FALSE,0,0,FALSE,NA,TRUE,0.6,0.25,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,0,1,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"32",4000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.833333333333333,FALSE,48,FALSE,TRUE,0,0,FALSE,NA,FALSE,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"33",5000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE,33,FALSE,TRUE,0,0,FALSE,NA,FALSE,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"34",3500,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.833333333333333,FALSE,36,FALSE,TRUE,0,0,FALSE,NA,FALSE,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"35",4000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.5,TRUE,28,FALSE,FALSE,1,1,FALSE,NA,TRUE,0.8,0.25,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,1,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"36",0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.5,TRUE,35,FALSE,TRUE,0,0,FALSE,NA,TRUE,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"37",4000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,48,TRUE,FALSE,0,0,FALSE,NA,FALSE,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"38",4000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.166666666666667,TRUE,23,FALSE,TRUE,0,0.5,TRUE,NA,TRUE,0.6,0.25,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,0,1,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
